Gender,Age,Education,Employment,marital,fshopper,mplanner,easy,familiarity,friends,Useful,Easiness,Sufficient,Trusfulness,Clear,netquan,low in fat,low in cho,sodium,e labels
0,56,4,5,1,0,1,2,1,5,4,4,5,4,3,2,1,1,2,0
0,32,5,3,0,0,1,2,3,5,4,4,5,4,4,2,2,1,3,1
0,41,4,3,0,0,1,3,2,4,4,4,5,3,4,2,2,3,4,0
0,47,5,1,1,0,1,2,2,5,4,4,5,4,4,2,2,3,3,1
0,56,4,5,1,0,1,2,4,5,4,4,5,4,4,2,2,2,4,1
0,58,5,1,1,0,0,1,2,4,4,4,4,4,4,2,2,2,4,1
0,59,5,1,1,1,0,1,4,5,4,4,4,3,3,2,1,1,3,0
0,21,5,4,0,1,0,2,3,5,4,4,4,3,4,2,2,1,3,1
0,21,5,4,0,1,1,2,4,5,4,4,4,3,4,0,2,2,3,1
0,56,3,1,1,1,1,3,3,4,4,4,4,4,4,2,1,2,4,1
0,58,3,5,1,1,1,4,4,5,4,4,4,4,4,2,2,3,4,1
0,34,3,5,1,0,1,3,3,5,4,4,4,3,4,2,1,2,2,0
0,28,3,4,1,0,1,1,5,5,4,4,4,3,4,2,2,0,2,1
0,27,5,4,1,0,1,1,3,4,4,4,4,3,4,0,0,3,3,1
0,25,5,4,0,1,1,2,5,5,4,3,4,3,4,2,0,1,1,1
0,25,5,4,0,0,1,5,3,4,4,3,4,3,4,2,0,2,4,0
0,25,5,4,0,0,1,2,3,5,4,3,4,4,5,1,3,3,2,0
0,64,5,6,1,0,1,3,4,4,4,4,4,3,4,1,2,2,2,1
0,65,5,6,1,0,1,3,1,5,4,4,4,4,2,1,0,1,2,1
0,68,5,6,1,1,1,5,3,5,5,3,4,4,5,2,0,1,2,1
0,67,5,6,0,1,1,4,4,5,4,4,4,3,5,1,1,1,2,1
0,32,5,5,0,1,1,2,4,5,4,4,4,4,5,1,0,2,1,0
0,38,5,5,1,1,1,1,2,4,5,4,4,4,5,1,2,3,3,1
0,39,4,3,1,1,1,3,5,4,5,4,4,3,5,1,0,2,3,1
0,39,5,1,1,1,1,1,3,5,4,5,4,4,5,1,0,1,2,1
0,36,5,1,1,1,1,2,4,5,4,5,4,4,5,1,3,1,1,1
0,32,4,3,0,1,1,2,3,5,5,2,4,3,5,1,3,3,2,1
0,29,4,4,1,0,1,2,4,4,4,2,4,3,5,0,3,2,4,0
